"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05401305","Safety and Reactogenicity Trial of Vaccine for the Prevention of Infections Caused by Haemophilus Influenzae Type b",,"Completed","No Results Available","Haemophilus Influenzae Infection|Vaccines","Biological: Vaccine for the prevention of infections caused by Haemophilus influenza type b|Biological: Placebo","Incidence of local adverse events (AEs)|Incidence of systemic adverse events (AEs)|Incidence of other adverse events (AEs)|Incidence of immediate adverse events (AEs) (allergic reactions)|Incidence of severe adverse events (SAEs)|Withdrawal of a volunteer from the trial due to development of an AE/SAE associated with the use of the trial products|Number of patients with abnormal results of assessment of vital signs - blood pressure (BP)|Number of patients with abnormal results of assessment of vital signs - heart rate (HR)|Number of patients with abnormal results of assessment of vital signs - respiratory rate (RR)|Number of patients with abnormal results of assessment of vital signs - body temperature|Number of patients with abnormal results of physical examination|Number of patients with abnormal results of neurological status assessment|Number of patients with abnormal ECG findings|Number of patients with abnormal results of complete blood counts|Number of patients with abnormal results biochemical blood tests|Number of patients with abnormal results E immunoglobulin tests|Number of patients with abnormal Urinalysis results","St. Petersburg Research Institute of Vaccines and Sera","All","18 Years to 50 Years   (Adult)","Phase 1","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","HIB-I-07/19","January 14, 2020","March 30, 2020","June 17, 2020","June 2, 2022",,"June 2, 2022","Federally Funded Healthcare Institution Primary Healthcare Unit No.163, Federal Medical-Biological Agency (FFHI PHU No.163, FMBA of Russia), Koltsovo, Russian Federation",,"https://ClinicalTrials.gov/show/NCT05401305"
2,"NCT01746108","Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Pneumococcal Vaccine (Synflorix™) When Administered to Children Who Are at an Increased Risk of Pneumococcal Infection",,"Completed","Has Results","Infections, Streptococcal|Streptococcus Pneumoniae Vaccines","Biological: Synflorix™","Concentrations of Antibodies Against Vaccine Pneumococcal Serotypes in the At Risk Primed Group.|Concentrations of Antibodies Against Vaccine Pneumococcal Serotypes in the At Risk Un-primed Group.|Opsonophagocytic Titers Against Vaccine Pneumococcal Serotypes in the At Risk Primed Group.|Opsonophagocytic Titers Against Vaccine Pneumococcal Serotypes in the At Risk Un-primed Group.|Concentrations of Antibodies Against Protein D (PD) in the At Risk Primed Group.|Concentrations of Antibodies Against Protein D (PD) in the At Risk Unprimed Group.|Number of Subjects With Any and Severe (Grade 3) Solicited Local Adverse Events (AEs) After Dose 1 for Subjects Aged Between 2 to 4 Years.|Number of Subjects With Any and Severe (Grade 3) Solicited Local Adverse Events (AEs) After Dose 2 for Subjects Aged Between 2 to 4 Years.|Number of Subjects With Any and Severe (Grade 3) Solicited Local Adverse Events (AEs) After Dose 1 for Subjects Aged Between 5 to 17 Years.|Number of Subjects With Any and Severe (Grade 3) Solicited Local Adverse Events (AEs) After Dose 2 for Subjects Aged Between 5 to 17 Years.|Number of Subjects With Any, Severe (Grade 3) and Related Solicited General Adverse Events (AEs) After Dose 1 for Subjects Aged Between 2 to 4 Years.|Number of Subjects With Any, Severe (Grade 3) and Related Solicited General Adverse Events (AEs) After Dose 2 for Subjects Aged Between 2 to 4 Years.|Number of Subjects With Any, Severe (Grade 3) and Related Solicited General Adverse Events (AEs) After Dose 1 for Subjects Aged Between 5 to 17 Years.|Number of Subjects With Any, Severe (Grade 3) and Related Solicited General Adverse Events (AEs) After Dose 2 for Subjects Aged Between 5 to 17 Years.|Number of Subjects With Unsolicited AEs.|Number of Subjects With Serious Adverse Events (SAEs).|Concentrations of Antibodies Against Vaccine Pneumococcal Serotypes in the Healthy Un-primed Group.|Opsonophagocytic Titers Against Vaccine Pneumococcal Serotypes in the Healthy Un-primed Group.|Concentrations of Antibodies Against Protein D (PD) in the Healthy Unprimed Group.","GlaxoSmithKline","All","2 Years to 17 Years   (Child)","Phase 3","52","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","115884|2011-006013-34","June 18, 2013","June 29, 2015","June 29, 2015","December 10, 2012","January 9, 2017","July 9, 2019","GSK Investigational Site, Krakow, Poland|GSK Investigational Site, Warszawa, Poland|GSK Investigational Site, Wroclaw, Poland|GSK Investigational Site, Barnaul, Russian Federation|GSK Investigational Site, Novokuznetsk, Russian Federation|GSK Investigational Site, St Petersburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT01746108"
3,"NCT05037435","Safety and Immunological Efficacy of the Pentavalent Rotavirus Vaccine - Rota-V-Aid™ (Live Attenuated Oral, Freeze-dried) at Healthy Adults Aged 18 to 45 Years.",,"Completed","No Results Available","Rotavirus Infections|Rotavirus Vaccines","Biological: The pentavalent rotavirus vaccine (live attenuated oral, freeze-dried)|Other: Placebo","Geometric Mean Titer (GMT) of antibody|Seroconversion level|Seroconversion factor (The increase in the geometric mean antibody titer on day 28 compared to the initial level is expressed in the fold increase.).|Frequency and expressiveness of AE /SAE.","Limited Liability Company Pharm Aid","All","18 Years to 45 Years   (Adult)","Phase 3","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","RTB 001/18","June 25, 2018","July 27, 2018","July 27, 2018","September 8, 2021",,"September 8, 2021","Perm State Medical University named after Academician E.A. Wagner, Perm, Russian Federation",,"https://ClinicalTrials.gov/show/NCT05037435"
4,"NCT05168709","Investigating COVID-19 Vaccine Immunity in Children in the Melbourne Infant Study of BCG for Allergy and Infection Reduction","COSI BAIR","Completed","No Results Available","COVID-19|Vaccine Reaction|Immunization; Infection","Biological: Tozinameran","Mean change from baseline of in vitro whole blood stimulation cytokine responses to COVID-19 specific and heterologous stimulants|Mean change from baseline of anti-SARS-CoV-2 antibody titres|Mean change from baseline of SARS-CoV-2-reactive T cell responses|Correlation of serological profiling of previous viral infections and antiviral responses, and post-vaccination anti-SARS-CoV-2 antibody titres|Correlation of serological profiling of vaccine-preventable disease antibody responses and post-vaccination anti-SARS-CoV-2 antibody titres|Correlation of whole blood cytokine responses to vaccine-preventable disease antigens and post-vaccination anti-SARS-CoV-2 antibody titres|Mean change from baseline of vaccine-preventable disease antibody titres","Murdoch Childrens Research Institute","All","5 Years to 11 Years   (Child)","Phase 4","51","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","81771","January 20, 2022","September 29, 2022","September 29, 2022","December 23, 2021",,"February 9, 2023","Melbourne Children's campus, Parkville, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT05168709"
5,"NCT05083039","Observational Program, Study the Preventive Efficacy of the BiVac Polio Vaccine Against the Incidence of Acute Respiratory Infections, Including COVID-19",,"Completed","No Results Available","Coronavirus Infections|Vaccine|Polio",,"The number of detected cases","Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products","All","18 Years to 65 Years   (Adult, Older Adult)",,"1500","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","BV-PM-05/20","May 14, 2020","December 14, 2020","September 3, 2021","October 19, 2021",,"February 8, 2023","Federal State Budgetary Educational Institution of Higher Education Kirov State Medical University of the Ministry of Health of Russia, Kirov, Russian Federation",,"https://ClinicalTrials.gov/show/NCT05083039"
6,"NCT02289794","Vaccine Against Escherichia Coli Infection",,"Completed","No Results Available","E.Coli Infections","Biological: E.coli bioconjugate vaccine|Biological: Placebo","Number of subjects experiencing an adverse events|Comparison of E.coli vaccine-specific serotypes antibody concentrations in serum at different timepoints","GlycoVaxyn AG","Female","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","194","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","GVXN EC-4V|2013DR1205","January 2014","July 2015","September 2015","November 13, 2014",,"February 11, 2016","Hôpitaux Universitaires de Genève, Geneve, GE, Switzerland",,"https://ClinicalTrials.gov/show/NCT02289794"
7,"NCT05291871","Immunogenicity of Fractional Dose of the HPV Vaccines",,"Active, not recruiting","No Results Available","HPV Infection|HPV Vaccine","Biological: HPV vaccine","HPV antibody detection after intradermal or intramuscular, fractional one-fifth dose HPV-2 or HPV-9 vaccine immunization","University of Washington","All","27 Years to 45 Years   (Adult)","Phase 4","92","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","STUDY00014983","June 15, 2022","December 31, 2023","December 2024","March 23, 2022",,"April 19, 2023","University of Washington Virology Research Clinic, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT05291871"
8,"NCT00120848","Follow-up Study of GSK Biologicals' Human Papilloma Virus (HPV) Vaccine to Prevent Cervical Infection in Young Adults",,"Completed","No Results Available","Infections, Papillomavirus","Biological: HPV 16/18 VLP AS04","Incident cervical infection with HPV-16 and/or HPV-18|Persistent cervical infection (6-month definition) with HPV 16 and/or HPV 18.|Persistent cervical infection (6-month definition) with oncogenic HPV types.|Incident cervical infection with oncogenic HPV types.|Histopathologically-confirmed CIN 1+ or CIN 2+ associated with HPV 16 and/or HPV 18 detected within the lesional component of the cervical tissue specimen.|Histopathologically-confirmed CIN 1+ or CIN 2+ associated with oncogenic HPV types detected within the lesional component of the cervical tissue specimen.|Abnormal cytology associated with an HPV-16 and/or HPV-18 cervical infection.|Abnormal cytology associated with oncogenic HPV type cervical infection.","GlaxoSmithKline","Female","20 Years to 30 Years   (Adult)","Phase 2","776","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","580299/007","November 2003","July 2007","July 2007","July 19, 2005",,"November 4, 2016","GSK Investigational Site, San Francisco, California, United States|GSK Investigational Site, San Francisco, California, United States|GSK Investigational Site, Augusta, Georgia, United States|GSK Investigational Site, Bardstown, Kentucky, United States|GSK Investigational Site, Louisville, Kentucky, United States|GSK Investigational Site, Lebanon, New Hampshire, United States|GSK Investigational Site, Morristown, New Jersey, United States|GSK Investigational Site, Albuquerque, New Mexico, United States|GSK Investigational Site, Portland, Oregon, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Houston, Texas, United States|GSK Investigational Site, San Antonio, Texas, United States|GSK Investigational Site, Salt Lake City, Utah, United States|GSK Investigational Site, West Jordan, Utah, United States|GSK Investigational Site, Seattle, Washington, United States|GSK Investigational Site, Marshfield, Wisconsin, United States|GSK Investigational Site, Curitiba, Paraná, Brazil|GSK Investigational Site, Porto Alegre, Rio Grande Do Sul, Brazil|GSK Investigational Site, Campinas, Brazil|GSK Investigational Site, Fortaleza, Brazil|GSK Investigational Site, São Paulo, Brazil|GSK Investigational Site, Edmonton, Alberta, Canada|GSK Investigational Site, Langley, British Columbia, Canada|GSK Investigational Site, Winnipeg, Manitoba, Canada|GSK Investigational Site, Saint John's, Newfoundland and Labrador, Canada|GSK Investigational Site, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00120848"
9,"NCT04711265","Antibody Response to Prophylactic QHPV Vaccine at 48 Months Among HIV-infected Girls and Boys",,"Completed","No Results Available","HPV Vaccine|HPV Infection|HIV-1-infection","Drug: Quadrivalent HPV [Type 6, 11, 16 and 18] L1 Virus-Like Particle Vaccine","Human Papillomavirus Antibody Titers|HIV RNA viral load|CD 4 cell count","Kenya Medical Research Institute|University of Washington|Merck Sharp & Dohme LLC","All","9 Years to 14 Years   (Child)",,"176","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","KENYAMRI","September 2015","November 2018","January 2019","January 15, 2021",,"January 15, 2021","Partners in Health Research and Development, Thika, Kiambu, Kenya",,"https://ClinicalTrials.gov/show/NCT04711265"
10,"NCT00133497","gB/MF59 Vaccine in Preventing Cytomegalovirus Infection in Healthy Adolescent Females",,"Completed","No Results Available","Cytomegalovirus Infections","Biological: MF-59|Drug: Placebo|Biological: CMV gB vaccine","Efficacy: systemic cytomegalovirus (CMV) infection, defined by the detection of CMV in the urine or blood, which will be evaluated by CMV detection by polymerase chain reaction (PCR).|Safety: incidence of local and systemic reactions, as determined by self-reported assessments using a memory aid, adverse events (AEs) and serious adverse events (SAEs).|Efficacy: CMV infections defined as seroconversion to nonvaccine CMV antigens or identification of CMV in the blood or urine.|Immunologic: CMV antibody measurements by CMV neutralization, enzyme-linked immunosorbent assay (ELISA), and CMV glycoprotein B (gB) assay.|Duration and magnitude of CMV replication in the urine and blood as determined from specimens.","National Institute of Allergy and Infectious Diseases (NIAID)","Female","12 Years to 17 Years   (Child)","Phase 2","409","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","04-039","June 2006","June 2013","June 2013","August 23, 2005",,"July 6, 2017","Cincinnati Children's Hospital Medical Center - Infectious Diseases, Cincinnati, Ohio, United States|Vanderbilt University - Pediatric - Vanderbilt Vaccine Research Center, Nashville, Tennessee, United States|The University of Texas Medical Branch - Sealy Center for Vaccine Development (SCVD), Galveston, Texas, United States|The University of Texas Health Science Center - Pediatrics, Houston, Texas, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00133497"
